plume_age_lower,plume_age_upper,delO3delCO_lower,delO3delCO_upper,delO3delCO_mean,delO3delCO_std,N,region,mixing
4,10,-0.032,0.052,0.005,0.019,16,temperate,
14,48,-0.94,0.34,-0.06,0.28,15,temperate,
2,2,0.064,0.089,0.079,0.024,3,temperate,
12,24,,,0.03,0.04,18,temperate,
24,72,0.014,0.062,0.035,,3,temperate,
48,120,0,0.66,0.13,,9,temperate,
48,48,0.14,0.14,0.14,0.5,1,temperate,
24,120,,,0.11,0.09,20,temperate,1
24,120,-0.07,0.42,0.17,,8,temperate,
48,120,0.18,0.18,0.18,,1,temperate,
48,264,-0.2,0,-0.07,0.12,3,temperate,
144,240,0.22,0.36,0.27,,5,temperate,
168,240,0.15,0.84,0.44,,5,temperate,
312,360,0.45,0.93,0.59,,4,temperate,
312,312,-0.04,,-0.04,,1,temperate,
120,240,,,0.25,,,temperate,
144,216,-0.0088,0.078,0.035,,2,temperate,
144,360,-0.42,0.89,0.27,,9,temperate,
0,1,-0.009,0.09,0.036,,11,tropics,
24,48,0.13,0.37,0.23,,4,tropics,
0,12,,,0.15,0.37,4,tropics,
12,24,,,0.32,0.76,4,tropics,
12,24,-0.06,0.09,0.006,,32,tropics,
0,2,0.019,0.17,0.0078,,4,tropics,
96,120,0.26,0.42,0.33,,3,tropics,1
48,72,,,0.2,0.01,,tropics,
24,120,,,0.71,0.12,10,tropics,
24,120,,,0.17,0.01,,tropics,
240,240,0.19,0.87,0.41,0.2,10,tropics,
240,168,,,0.74,0.9,8,tropics,
120,240,,,0.75,,,tropics,