CoreName,Definition,Chemical Formula,CAS Number,Specificity,Category
Z3Me2Pentene,(Z)-3-Methyl-2-pentene,C6H12,922-62-3,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
E3Me2Pentene,(E)-3-Methyl-2-pentene,C6H12,616-12-6,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x3Me2Pentenes,Sum of (Z)-3-Methyl-2-pentene and (E)-3-Methyl-2-pentene,C6H12,922-61-2,M,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
Z4Me2Pentene,(Z)-4-Methyl-2-pentene,C6H12,691-38-3,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
E4Me2Pentene,(E)-4-Methyl-2-pentene,C6H12,674-76-0,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x4Me2Pentenes,Sum of (Z)-4-Methyl-2-pentene and (E)-4-Methyl-2-pentene,C6H12,4461-48-7,M,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
CycHexane,Cyclohexane,C6H12,110-82-7,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
MeCycPentane,Methylcyclopentane,C6H12,96-37-7,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
nHeptane,n-Heptane,C7H16,142-82-5,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x2MeHexane,2-Methylhexane,C7H16,591-76-4,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x3MeHexane,3-Methylhexane,C7H16,589-34-4,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x22DimePentane,"2,2-Dimethylpentane",C7H16,590-35-2,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x23DimePentane,"2,3-Dimethylpentane",C7H16,565-59-3,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x24DimePentane,"2,4-Dimethylpentane",C7H16,108-08-07,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x33DimePentane,"3,3-Dimethylpentane",C7H16,562-49-2,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x1Heptene,1-Heptene,C7H14,592-76-7,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
MeCycHexane,Methylcyclohexane,C7H14,108-87-2,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
nOctane,n-Octane,C8H18,111-65-9,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x224TrimePentane,"2,2,4-Trimethylpentane",C8H18,540-84-1,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x234TrimePentane,"2,3,4-Trimethylpentane",C8H18,565-75-3,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x2MeHeptane,2-Methylheptane,C8H18,592-27-8,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x3MeHeptane,3-Methylheptane,C8H18,589-81-1,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x1Octene,1-Octene,C8H16,111-66-0,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
nNonane,n-Nonane,C9H20,111-84-2,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x1Nonene,1-Nonene,C9H18,124-11-8,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
aPinene,alpha-Pinene,C10H16,80-56-8,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
bPinene,beta-Pinene,C10H16,127-91-3,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
Camphene,Camphene,C10H16,79-92-5,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
Tricyclene,Tricyclene,C10H16,508-32-7,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
aTerpinene,alpha-Terpinene,C10H16,99-86-5,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
gTerpinene,gamma-Terpinene,C10H16,99-85-4,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
Myrcene,Myrcene,C10H16,123-35-3,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
Limonene,Sum of D-Limonene and L- Limonene,C10H16,138-86-3,M,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
LimoneneAndD3Carene,Sum of Limonene and Δ3- Carene,C10H16,N/A,M,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
bPineneAndMyrcene,Sum of beta-Pinene and Myrcene,C10H16,N/A,M,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
Sabinene,Sabinene,C10H16,3387-41-5,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
dLimonene,D-Limonene,C10H16,5989-27-5,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
Terpinolene,Terpinolene,C10H16,586-62-9,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
Monoterpenes,Sum of Monoterpenes,C10H16,N/A,M,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
nDecane,n-Decane,C10H22,124-18-5,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x1Decene,1-Decene,C10H20,872-05-9,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
nUndecane,n-Undecane,C11H24,1120-21-4,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
nDodecane,nDodecane,C12H26,112-40-3,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
Dodecane,Sum of all dodecane isomers,C12H26,N/A,M,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
aCedrene,alpha-cedrene,C15H24,469-61-4,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
aHumulene,alpha-Humulene,C15H24,6753-98-6,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
Benzene,Benzene,C6H6,71-43-2,S,Hydrocarbons: Aromatics and Oxygenated Aromatics
Toluene,Toluene,C7H8,108-88-3,S,Hydrocarbons: Aromatics and Oxygenated Aromatics
oXylene,o-Xylene,C8H10,95-47-6,S,Hydrocarbons: Aromatics and Oxygenated Aromatics
mXylene,m-Xylene,C8H10,108-38-3,S,Hydrocarbons: Aromatics and Oxygenated Aromatics
pXylene,p-Xylene,C8H10,106-42-3,S,Hydrocarbons: Aromatics and Oxygenated Aromatics
EthBenzene,Ethylbenzene,C8H10,100-41-4,S,Hydrocarbons: Aromatics and Oxygenated Aromatics
mpXylene,Sum of m-Xylene and p-Xylene,C8H10,N/A,M,Hydrocarbons: Aromatics and Oxygenated Aromatics
EthBenzAndmpXylene,Sum of Ethylbenzene and mp- Xylene,C8H10,N/A,M,Hydrocarbons: Aromatics and Oxygenated Aromatics
C8Aromatics,Sum of C8-Aromatics,C8H10,N/A,M,Hydrocarbons: Aromatics and Oxygenated Aromatics
Styrene,Styrene,C8H8,100-42-5,S,Hydrocarbons: Aromatics and Oxygenated Aromatics
Ethynylbenzene,Ethynylbenzene,C8H6,536-74-3,S,Hydrocarbons: Aromatics and Oxygenated Aromatics
C9Aromatics,Sum of C9-Aromatics,C9H12,N/A,M,Hydrocarbons: Aromatics and Oxygenated Aromatics
nPropBenzene,n-Propylbenzene,C9H12,103-65-1,S,Hydrocarbons: Aromatics and Oxygenated Aromatics
iPropBenzene,Isopropylbenzene,C9H12,98-82-8,S,Hydrocarbons: Aromatics and Oxygenated Aromatics
x123TrimeBenzene,"1,2,3-Trimethylbenzene",C9H12,526-73-8,S,Hydrocarbons: Aromatics and Oxygenated Aromatics
x124TrimeBenzene,"1,2,4-Trimethylbenzene",C9H12,95-63-6,S,Hydrocarbons: Aromatics and Oxygenated Aromatics
x135TrimeBenzene,"1,3,5-Trimethylbenzene",C9H12,108-67-8,S,Hydrocarbons: Aromatics and Oxygenated Aromatics
x2EthToluene,2-Ethyltoluene,C9H12,611-14-3,S,Hydrocarbons: Aromatics and Oxygenated Aromatics
x3EthToluene,3-Ethyltoluene,C9H12,620-14-4,S,Hydrocarbons: Aromatics and Oxygenated Aromatics
x4EthToluene,4-Ethyltoluene,C9H12,622-96-8,S,Hydrocarbons: Aromatics and Oxygenated Aromatics
pCymene,para-Cymene,C10H14,99-87-6,S,Hydrocarbons: Aromatics and Oxygenated Aromatics
C10Aromatics,Sum of C10-Aromatics,C10H14,N/A,M,Hydrocarbons: Aromatics and Oxygenated Aromatics
tButBenzene,tert-Butylbenzene,C10H14,98-06-6,S,Hydrocarbons: Aromatics and Oxygenated Aromatics
nButBenzene,n-Butylbenzene,C10H14,104-51-8,S,Hydrocarbons: Aromatics and Oxygenated Aromatics
mDiethBenzene,"1,3-Diethylbenzene",C10H14,141-93-5,S,Hydrocarbons: Aromatics and Oxygenated Aromatics
pDiethBenzene,"1,4-Diethylbenzene",C10H14,105-05-05,S,Hydrocarbons: Aromatics and Oxygenated Aromatics
oDiethBenzene,"1,2-Diethylbenzene",C10H14,135-01-03,S,Hydrocarbons: Aromatics and Oxygenated Aromatics
C11Aromatics,Sum of C11-Aromatics,C11H16,N/A,M,Hydrocarbons: Aromatics and Oxygenated Aromatics
Naphthalene,Naphthalene,C10H8,91-20-3,S,Hydrocarbons: Aromatics and Oxygenated Aromatics
Benzaldehyde,Benzaldehyde,C7H6O,100-52-7,S,Hydrocarbons: Aromatics and Oxygenated Aromatics
DHT,Sum of Dihydroxytoluene Isomers,C7H8O2,N/A,M,Hydrocarbons: Aromatics and Oxygenated Aromatics
Phenol,Phenol,C6H5OH,108-95-2,S,Hydrocarbons: Aromatics and Oxygenated Aromatics
Cresols,Sum of Cresol Isomers (Hydroxytoluenes),C7H8O,N/A,M,Hydrocarbons: Aromatics and Oxygenated Aromatics
Creosol,Creosol,C8H10O2,93-51-6,S,Hydrocarbons: Aromatics and Oxygenated Aromatics
CO,Carbon monoxide,CO,630-08-0,S,Oxygenated Inorganic and Volatile Organic Carbon Species
CO2,Carbon dioxide,CO2,124-38-9,S,Oxygenated Inorganic and Volatile Organic Carbon Species
x13CO2,13CO2-Carbon dioxide,13CO2,1111-72-4,S,Oxygenated Inorganic and Volatile Organic Carbon Species
x14CO2,14CO2-Carbon dioxide,14CO2,51-90-1,S,Oxygenated Inorganic and Volatile Organic Carbon Species
x18OCO,18OCO-Carbon dioxide,18OCO,N/A,S,Oxygenated Inorganic and Volatile Organic Carbon Species
C3O2,Carbon suboxide,C3O2,504-64-3,S,Oxygenated Inorganic and Volatile Organic Carbon Species
CHOCHO,Glyoxal,C2H2O2,107-22-2,S,Oxygenated Inorganic and Volatile Organic Carbon Species
CH3COCHO,Methyl glyoxal,C3H4O2,78-98-8,S,Oxygenated Inorganic and Volatile Organic Carbon Species
CH3OH,Methanol,CH4O,67-56-1,S,Oxygenated Inorganic and Volatile Organic Carbon Species
CH2O,Formaldehyde,CH2O,50-00-0,S,Oxygenated Inorganic and Volatile Organic Carbon Species
CH3OOH,Methyl hydroperoxide,CH4O2,3031-73-0,S,Oxygenated Inorganic and Volatile Organic Carbon Species
HMHP,Hydroxymethyl hydroperoxide,CH4O3,15932-89-5,S,Oxygenated Inorganic and Volatile Organic Carbon Species
HCOOH,Formic acid,CH2O2,64-18-6,S,Oxygenated Inorganic and Volatile Organic Carbon Species
C2H5OH,Ethanol,C2H6O,64-17-5,S,Oxygenated Inorganic and Volatile Organic Carbon Species
CH3CHO,Acetaldehyde,C2H4O,75-07-0,S,Oxygenated Inorganic and Volatile Organic Carbon Species
Glycolaldehyde,Glycolaldehyde,C2H4O2,141-46-8,S,Oxygenated Inorganic and Volatile Organic Carbon Species
CH3COOH,Acetic acid,C2H4O2,64-19-7,S,Oxygenated Inorganic and Volatile Organic Carbon Species
CH3COOHAndGlycolal dehyde,Sum of Acetic Acid and Glycolaldehyde,C2H4O2,N/A,M,Oxygenated Inorganic and Volatile Organic Carbon Species
MeFormate,Methyl Formate,C2H4O2,107-31-3,S,Oxygenated Inorganic and Volatile Organic Carbon Species
HAA,Hydroxyacetic acid; Glycolic acid,C2H4O3,2H4O3,79-14-1,Oxygenated Inorganic and Volatile Organic Carbon Species
PAA,Peracetic Acid,C2H4O3,79-21-0,S,Oxygenated Inorganic and Volatile Organic Carbon Species
iPropanol,Isopropanol,C3H8O,67-63-0,S,Oxygenated Inorganic and Volatile Organic Carbon Species
Propanal,Propanal,C3H6O,123-38-6,S,Oxygenated Inorganic and Volatile Organic Carbon Species
Acetone,Acetone,C3H6O,67-64-1,S,Oxygenated Inorganic and Volatile Organic Carbon Species
AcetoneAndPropanal,Sum of Acetone and Propanal,C3H6O,N/A,M,Oxygenated Inorganic and Volatile Organic Carbon Species
Acrolein,Acrolein,C3H4O,107-02-08,S,Oxygenated Inorganic and Volatile Organic Carbon Species
C3H6O2,"Sum of C3H6O2 Isomers, including Hydroxyacetone",C3H6O2,N/A,M,Oxygenated Inorganic and Volatile Organic Carbon Species
EthFormate,Ethyl Formate,C3H6O2,109-94-4,S,Oxygenated Inorganic and Volatile Organic Carbon Species
MeAcetate,Methyl acetate,C3H6O2,79-20-9,S,Oxygenated Inorganic and Volatile Organic Carbon Species
C2H5COOH,Propanoic acid,C3H6O2,79-09-4,S,Oxygenated Inorganic and Volatile Organic Carbon Species
C3H6O3,"Sum of C3H6O3 Isomers, including Hydroperoxy Acetone",C3H6O3,N/A,M,Oxygenated Inorganic and Volatile Organic Carbon Species
Butanal,Butanal,C4H8O,123-72-8,S,Oxygenated Inorganic and Volatile Organic Carbon Species
iButanal,Isobutanal,C4H8O,78-84-2,S,Oxygenated Inorganic and Volatile Organic Carbon Species
MEK,Methyl Ethyl Ketone,C4H8O,78-93-3,S,Oxygenated Inorganic and Volatile Organic Carbon Species
THF,Tetrahydrofuran,C4H8O,109-99-9,S,Oxygenated Inorganic and Volatile Organic Carbon Species
ButanalAndMEK,Sum of Butanal and MEK,C4H8O,N/A,M,Oxygenated Inorganic and Volatile Organic Carbon Species
C4Carbonyls,Sum of C4-Carbonyls,C4H8O,N/A,M,Oxygenated Inorganic and Volatile Organic Carbon Species
EthAcetate,Ethyl acetate,C4H8O2,141-78-6,S,Oxygenated Inorganic and Volatile Organic Carbon Species
MePropionate,Methyl propionate,C4H8O2,554-12-1,S,Oxygenated Inorganic and Volatile Organic Carbon Species
x14Dioxane,"1,4-Dioxane",C4H8O2,123-91-1,S,Oxygenated Inorganic and Volatile Organic Carbon Species
C4H8O3,"Sum of C4H8O3 Isomers, including C4 Dihydroxy Carbonyls",C4H8O3,N/A,M,Oxygenated Inorganic and Volatile Organic Carbon Species
MAC,Methacrolein,C4H6O,78-85-3,S,Oxygenated Inorganic and Volatile Organic Carbon Species
MVK,Methyl Vinyl Ketone,C4H6O,78-94-4,S,Oxygenated Inorganic and Volatile Organic Carbon Species
MVKAndMAC,Sum of MVK and Methacrolein,C4H6O,N/A,M,Oxygenated Inorganic and Volatile Organic Carbon Species
E2Butenal,"(E)-2-Butenal, trans- Crotonaldehyde",C4H6O,123-73-9,S,Oxygenated Inorganic and Volatile Organic Carbon Species
Z2Butenal,"(Z)-2-Butenal, cis- Crotonaldehyde",C4H6O,15798-64-8,S,Oxygenated Inorganic and Volatile Organic Carbon Species
x2Butenals,"Sum of (Z)- and (E)-2-Butenal isomers, Crotonaldehyde",C4H6O,4170-30-3,M,Oxygenated Inorganic and Volatile Organic Carbon Species
x23Butanedione,"2,3-Butanedione",C4H6O2,431-03-8,S,Oxygenated Inorganic and Volatile Organic Carbon Species
C4H6O3,"Sum of C4H6O3 Isomers, including C4 Hydroxy Dicarbonyls",C4H6O3,N/A,M,Oxygenated Inorganic and Volatile Organic Carbon Species
Furan,Furan,C4H4O,110-00-9,S,Oxygenated Inorganic and Volatile Organic Carbon Species
x2Furanone,"2-Furanone, including 2(5H)Furanone and 2(3H)Furanone",C4H4O2,N/A,M,Oxygenated Inorganic and Volatile Organic Carbon Species
x23HFuranone,2(3H)-Furanone,C4H4O2,20825-71-2,S,Oxygenated Inorganic and Volatile Organic Carbon Species
x25HFuranone,2(5H)-Furanone,C4H4O2,497-23-4,S,Oxygenated Inorganic and Volatile Organic Carbon Species
SuccinicAnhyd,Succinic anhydride,C4H4O3,108-30-5,S,Oxygenated Inorganic and Volatile Organic Carbon Species
C4H4O3,Sum of C4H4O3 Isomers,C4H4O3,N/A,M,Oxygenated Inorganic and Volatile Organic Carbon Species
MaleicAnhyd,Maleic anhydride,C4H2O3,108-31-6,S,Oxygenated Inorganic and Volatile Organic Carbon Species
MTBE,Methyl Tert-Butyl Ether,C5H12O,1634-04-04,S,Oxygenated Inorganic and Volatile Organic Carbon Species
MBO,2-Methyl-3-buten-2-ol,C5H10O,115-18-4,S,Oxygenated Inorganic and Volatile Organic Carbon Species
Pentanal,Pentanal,C5H10O,110-62-3,S,Oxygenated Inorganic and Volatile Organic Carbon Species
x2Pentanone,2-Pentanone,C5H10O,107-87-9,S,Oxygenated Inorganic and Volatile Organic Carbon Species
x3Pentanone,3-Pentanone,C5H10O,96-22-0,S,Oxygenated Inorganic and Volatile Organic Carbon Species
C5Carbonyls,Sum of C5-Carbonyls,C5H10O,N/A,M,Oxygenated Inorganic and Volatile Organic Carbon Species
ISOPOOHAndIEPOX,Sum of ISOPOOH and IEPOX,C5H10O3,N/A,M,Oxygenated Inorganic and Volatile Organic Carbon Species
IEPOX,Sum of Isoprene Epoxy Diol Isomers,C5H10O3,N/A,M,Oxygenated Inorganic and Volatile Organic Carbon Species
ISOPOOH,Sum of Isoprene Hydroxy Hydroperoxide Isomers,C5H10O3,N/A,M,Oxygenated Inorganic and Volatile Organic Carbon Species
C5H8O3,"Sum of C5O3H8 Compounds, including HPALDs Isomers",C5H8O3,N/A,M,Oxygenated Inorganic and Volatile Organic Carbon Species
x2MeFuran,2-Methylfuran,C5H6O,534-22-5,S,Oxygenated Inorganic and Volatile Organic Carbon Species
x3MeFuran,3-Methylfuran,C5H6O,930-27-8,S,Oxygenated Inorganic and Volatile Organic Carbon Species
x2MeFuranAnd3MeFura n,Sum of 2-methylfuran 3- methylfuran and fragments,C5H6O,N/A,M,Oxygenated Inorganic and Volatile Organic Carbon Species
Furfural,Furfural,C5H4O2,98-01-1,S,Oxygenated Inorganic and Volatile Organic Carbon Species
x3Furaldehyde,3-Furaldehyde,C5H4O2,498-60-2,S,Oxygenated Inorganic and Volatile Organic Carbon Species
HPALDs,Sum of HPALDs,C5H8O3,N/A,M,Oxygenated Inorganic and Volatile Organic Carbon Species
Hexanal,Hexanal,C6H12O,66-25-1,S,Oxygenated Inorganic and Volatile Organic Carbon Species
x2Hexanone,2-Hexanone,C6H12O,591-78-6,S,Oxygenated Inorganic and Volatile Organic Carbon Species
x3Hexanone,3-Hexanone,C6H12O,589-38-8,S,Oxygenated Inorganic and Volatile Organic Carbon Species
C6Carbonyls,Sum of C6-Carbonyls,C6H12O,N/A,M,Oxygenated Inorganic and Volatile Organic Carbon Species
CycHexanone,Cyclohexanone,C6H10O,108-94-1,S,Oxygenated Inorganic and Volatile Organic Carbon Species
C6H10O5,Sum of Levoglucosan and other C6H10O5 species,C6H10O5,N/A,M,Oxygenated Inorganic and Volatile Organic Carbon Species
DimeFurans,Sum of Dimethylfurans,C6H8O,N/A,M,Oxygenated Inorganic and Volatile Organic Carbon Species
x25DimeFuran,"2,5-dimethylfuran",C6H8O,625-86-5,S,Oxygenated Inorganic and Volatile Organic Carbon Species
x24DimeFuran,"2,4-dimethylfuran",C6H8O,3710-43-8,S,Oxygenated Inorganic and Volatile Organic Carbon Species
x23DimeFuran,"2,3-Dimethylfuran",C6H8O,14920-89-9,S,Oxygenated Inorganic and Volatile Organic Carbon Species
x2EthFuran,2-Ethylfuran,C6H8O,3208-16-0,S,Oxygenated Inorganic and Volatile Organic Carbon Species
x3EthFuran,3-Ethylfuran,C6H8O,67363-95-5,S,Oxygenated Inorganic and Volatile Organic Carbon Species
Phenol,Phenol,C6H6O,108-95-2,S,Oxygenated Inorganic and Volatile Organic Carbon Species
x2EthenylFuran,2-Ethenylfuran,C6H6O,1487-18-9,S,Oxygenated Inorganic and Volatile Organic Carbon Species
x3EthenylFuran,3-Ethenylfuran,C6H6O,67364-02-7,S,Oxygenated Inorganic and Volatile Organic Carbon Species
C6H6O,Sum of Phenol and other C6H6O species,C6H6O,N/A,M,Oxygenated Inorganic and Volatile Organic Carbon Species
x5MeFurfural,5-methylfurfural,C6H6O2,620-02-0,S,Oxygenated Inorganic and Volatile Organic Carbon Species
Catechol,Catechol,C6H6O2,120-80-9,S,Oxygenated Inorganic and Volatile Organic Carbon Species
C6H6O2,Sum of Catechol and other C6H6O2 species,C6H6O2,N/A,M,Oxygenated Inorganic and Volatile Organic Carbon Species
C6H4O3,Hydroxybenzoquinone – including any compounds that can be viewed as derivatives of a benzoquinone,C6H4O3,N/A,M,Oxygenated Inorganic and Volatile Organic Carbon Species
Anisole,Anisole,C7H8O,100-66-3,S,Oxygenated Inorganic and Volatile Organic Carbon Species
C7H8O,Sum of C7H8O Isomers,C7H8O,N/A,M,Oxygenated Inorganic and Volatile Organic Carbon Species
Guaiacol,Guaiacol,C7H8O2,90-05-1,S,Oxygenated Inorganic and Volatile Organic Carbon Species
BenzFuran,Benzofuran,C8H6O,271-89-6,S,Oxygenated Inorganic and Volatile Organic Carbon Species
Syringol,Syringol,C8H10O3,91-10-1,S,Oxygenated Inorganic and Volatile Organic Carbon Species
C9H14O4,Sum of Pinic Acid and other C9H14O4 species,C9H14O4,N/A,M,Oxygenated Inorganic and Volatile Organic Carbon Species
C10H16O3,Sum of Pinonic Acid and other C10H16O3 species,C10H16O3,N/A,M,Oxygenated Inorganic and Volatile Organic Carbon Species
Linalool,Linalool,C10H18O,78-70-6,S,Oxygenated Inorganic and Volatile Organic Carbon Species
Terpineol,Terpineol,C10H18O,8006-39-1,S,Oxygenated Inorganic and Volatile Organic Carbon Species
aTerpineol,alpha-Terpineol,C10H18O,98-55-5,S,Oxygenated Inorganic and Volatile Organic Carbon Species
Geraniol,Geraniol,C10H18O,N/A,M,Oxygenated Inorganic and Volatile Organic Carbon Species
tGeraniol,trans-Geraniol,C10H18O,106-24-1,S,Oxygenated Inorganic and Volatile Organic Carbon Species
cGeraniol,cis-Geraniol,C10H18O,106-25-2,S,Oxygenated Inorganic and Volatile Organic Carbon Species
SabineneHydrate,Sabinene hydrate,C10H18O,546-79-2,S,Oxygenated Inorganic and Volatile Organic Carbon Species
Borneol,Borneol,C10H18O,N/A,M,Oxygenated Inorganic and Volatile Organic Carbon Species
Pulegone,Pulegone,C10H16O,89-82-7,S,Oxygenated Inorganic and Volatile Organic Carbon Species
LFenchone,L-Fenchone,C10H16O,7787-20-4,S,Oxygenated Inorganic and Volatile Organic Carbon Species
Fenchol,Fenchol,C10H16O,2217-02-09,S,Oxygenated Inorganic and Volatile Organic Carbon Species
Camphor,Camphor,C10H16O,N/A,M,Oxygenated Inorganic and Volatile Organic Carbon Species
Guaiol,Guaiol,C15H26O,489-86-1,S,Oxygenated Inorganic and Volatile Organic Carbon Species
tNeroidol,trans-Neroidol,C15H26O,40716-66-3,S,Oxygenated Inorganic and Volatile Organic Carbon Species
